date,close
08/30/07,136.25
08/29/07,134.08
08/28/07,126.82
08/27/07,132.25
08/24/07,135.3
08/23/07,131.07
08/22/07,132.51
08/21/07,127.57
08/20/07,122.22
08/17/07,122.06
08/16/07,117.05
08/15/07,119.9
08/14/07,124.03
08/13/07,127.79
08/10/07,125
08/09/07,126.39
08/08/07,134.01
08/07/07,135.03
08/06/07,135.25
08/03/07,131.85
08/02/07,136.49
08/01/07,135
07/31/07,131.76
07/30/07,141.43
07/27/07,143.85
07/26/07,146
07/25/07,137.26
07/24/07,134.89
07/23/07,143.7
07/20/07,143.75
07/19/07,140
07/18/07,138.12
07/17/07,138.91
07/16/07,138.1
07/13/07,137.73
07/12/07,134.07
07/11/07,132.39
07/10/07,132.35
07/09/07,130.33
07/06/07,132.3
07/05/07,132.75
07/03/07,127.17
07/02/07,121.26
06/29/07,122.04
06/28/07,120.56
06/27/07,121.89
06/26/07,119.65
06/25/07,122.34
06/22/07,123
06/21/07,123.9
06/20/07,121.55
06/19/07,123.66
06/18/07,125.09
06/15/07,120.5
06/14/07,118.75
06/13/07,117.5
06/12/07,120.38
06/11/07,120.19
06/08/07,124.49
06/07/07,124.07
06/06/07,123.64
06/05/07,122.67
06/04/07,121.33
06/01/07,118.4
05/31/07,121.19
05/30/07,118.77
05/29/07,114.35
05/25/07,113.62
05/24/07,110.69
05/23/07,112.89
05/22/07,113.54
05/21/07,111.98
05/18/07,110.02
05/17/07,109.44
05/16/07,107.34
05/15/07,107.52
05/14/07,109.36
05/11/07,108.74
05/10/07,107.34
05/09/07,106.88
05/08/07,105.06
05/07/07,103.92
05/04/07,100.81
05/03/07,100.4
05/02/07,100.39
05/01/07,99.47
04/30/07,99.8
04/27/07,99.92
04/26/07,98.84
04/25/07,95.35
04/24/07,93.24
